year,city,total_population,migration_population,ratio
2001,朝阳(2113),169771,5393,3.18
2002,朝阳(2113),164866,5524,3.35
2003,朝阳(2113),160939,5685,3.53
2004,朝阳(2113),158222,5809,3.67
2005,朝阳(2113),159153,5949,3.74
2006,朝阳(2113),169594,6577,3.88
2007,朝阳(2113),179405,7245,4.04
2008,朝阳(2113),189292,7929,4.19
2009,朝阳(2113),198783,8669,4.36
2010,朝阳(2113),202936,9078,4.47
2011,朝阳(2113),211324,9550,4.52
2012,朝阳(2113),216690,9746,4.5
2013,朝阳(2113),225008,10165,4.52
2014,朝阳(2113),232553,10514,4.52
2015,朝阳(2113),227009,10338,4.55
2016,朝阳(2113),225182,10289,4.57
2017,朝阳(2113),224347,10250,4.57
2018,朝阳(2113),221778,10179,4.59
2019,朝阳(2113),216815,9834,4.54
2020,朝阳(2113),345990,16220,4.69
2000,本溪(2105),92168,2549,2.77
2001,本溪(2105),106832,3841,3.6
2002,本溪(2105),120221,5082,4.23
2003,本溪(2105),132990,6638,4.99
2004,本溪(2105),145312,8347,5.74
2005,本溪(2105),159303,10327,6.48
2006,本溪(2105),183141,13081,7.14
2007,本溪(2105),207914,16380,7.88
2008,本溪(2105),233262,20147,8.64
2009,本溪(2105),258830,24198,9.35
2010,本溪(2105),277927,27997,10.07
2011,本溪(2105),289336,29227,10.1
2012,本溪(2105),296734,30063,10.13
2013,本溪(2105),307858,30737,9.98
2014,本溪(2105),318095,31929,10.04
2015,本溪(2105),310520,31207,10.05
2016,本溪(2105),308347,31217,10.12
2017,本溪(2105),307407,31480,10.24
2018,本溪(2105),303789,31271,10.29
2019,本溪(2105),297515,30805,10.35
2020,本溪(2105),489109,63965,13.08
2000,来宾(4513),0,0,nan
2001,来宾(4513),0,0,nan
2002,来宾(4513),0,0,nan
2003,来宾(4513),0,0,nan
2004,来宾(4513),0,0,nan
2005,来宾(4513),0,0,nan
2006,来宾(4513),0,0,nan
2007,来宾(4513),0,0,nan
2008,来宾(4513),0,0,nan
2009,来宾(4513),0,0,nan
2010,来宾(4513),0,0,nan
2011,来宾(4513),0,0,nan
2012,来宾(4513),0,0,nan
2013,来宾(4513),0,0,nan
2014,来宾(4513),0,0,nan
2015,来宾(4513),0,0,nan
2016,来宾(4513),0,0,nan
2017,来宾(4513),0,0,nan
2018,来宾(4513),0,0,nan
2019,来宾(4513),0,0,nan
2020,来宾(4513),0,0,nan
2000,杭州(3301),2035443,278789,13.7
2001,杭州(3301),2301093,369707,16.07
2002,杭州(3301),2560960,469695,18.34
2003,杭州(3301),2819827,578956,20.53
2004,杭州(3301),3079534,697339,22.64
2005,杭州(3301),3402588,839653,24.68
2006,杭州(3301),3965660,1073105,27.06
2007,杭州(3301),4542191,1317460,29.0
2008,杭州(3301),5091181,1532449,30.1
2009,杭州(3301),5717152,1822921,31.89
2010,杭州(3301),6121943,2001145,32.69
2011,杭州(3301),6359542,2071122,32.57
2012,杭州(3301),6502830,2102433,32.33
2013,杭州(3301),6735339,2167218,32.18
2014,杭州(3301),6559183,1841690,28.08
2015,杭州(3301),6345068,1739563,27.42
2016,杭州(3301),6242589,1674317,26.82
2017,杭州(3301),6153159,1603373,26.06
2018,杭州(3301),6014114,1520680,25.29
2019,杭州(3301),5828644,1428289,24.5
2020,杭州(3301),9198816,2187855,23.78
2000,松原(2207),0,0,nan
2001,松原(2207),0,0,nan
2002,松原(2207),0,0,nan
2003,松原(2207),0,0,nan
2004,松原(2207),0,0,nan
2005,松原(2207),0,0,nan
2006,松原(2207),0,0,nan
2007,松原(2207),0,0,nan
2008,松原(2207),0,0,nan
2009,松原(2207),0,0,nan
2010,松原(2207),0,0,nan
2011,松原(2207),0,0,nan
2012,松原(2207),0,0,nan
2013,松原(2207),0,0,nan
2014,松原(2207),0,0,nan
2015,松原(2207),0,0,nan
2016,松原(2207),0,0,nan
2017,松原(2207),0,0,nan
2018,松原(2207),0,0,nan
2019,松原(2207),0,0,nan
2020,松原(2207),0,0,nan
2000,林芝(5404),0,0,nan
2001,林芝(5404),0,0,nan
2002,林芝(5404),0,0,nan
2003,林芝(5404),0,0,nan
2004,林芝(5404),0,0,nan
2005,林芝(5404),0,0,nan
2006,林芝(5404),0,0,nan
2007,林芝(5404),0,0,nan
2008,林芝(5404),0,0,nan
2009,林芝(5404),0,0,nan
2010,林芝(5404),0,0,nan
2011,林芝(5404),0,0,nan
2012,林芝(5404),0,0,nan
2013,林芝(5404),0,0,nan
2014,林芝(5404),0,0,nan
2015,林芝(5404),0,0,nan
2016,林芝(5404),0,0,nan
2017,林芝(5404),0,0,nan
2018,林芝(5404),0,0,nan
2019,林芝(5404),0,0,nan
2020,林芝(5404),0,0,nan
2000,枣庄(3704),74213,804,1.08
2001,枣庄(3704),75280,840,1.12
2002,枣庄(3704),77445,996,1.29
2003,枣庄(3704),78837,1084,1.37
2004,枣庄(3704),80666,1212,1.5
2005,枣庄(3704),84115,1292,1.54
2006,枣庄(3704),92909,1645,1.77
2007,枣庄(3704),100825,1884,1.87
2008,枣庄(3704),109469,2133,1.95
2009,枣庄(3704),117889,2521,2.14
2010,枣庄(3704),123067,2656,2.16
2011,枣庄(3704),128064,2796,2.18
2012,枣庄(3704),131244,2813,2.14
2013,枣庄(3704),136449,2972,2.18
2014,枣庄(3704),140956,3041,2.16
2015,枣庄(3704),137507,2933,2.13
2016,枣庄(3704),136319,2813,2.06
2017,枣庄(3704),135774,2808,2.07
2018,枣庄(3704),134009,2736,2.04
2019,枣庄(3704),131091,2669,2.04
2020,枣庄(3704),209323,4521,2.16
2000,柳州(4502),126287,2220,1.76
2001,柳州(4502),231285,8237,3.56
2002,柳州(4502),326214,17286,5.3
2003,柳州(4502),414276,29268,7.06
2004,柳州(4502),497703,44008,8.84
2005,柳州(4502),590004,62943,10.67
2006,柳州(4502),722040,91011,12.6
2007,柳州(4502),859554,122571,14.26
2008,柳州(4502),1004008,159638,15.9
2009,柳州(4502),1156574,203033,17.55
2010,柳州(4502),1279373,243596,19.04
2011,柳州(4502),1328467,250581,18.86
2012,柳州(4502),1360810,254682,18.72
2013,柳州(4502),1409518,261309,18.54
2014,柳州(4502),1452083,266450,18.35
2015,柳州(4502),1414316,256717,18.15
2016,柳州(4502),1399018,250798,17.93
2017,柳州(4502),1389737,246169,17.71
2018,柳州(4502),1369473,239897,17.52
2019,柳州(4502),1338536,232467,17.37
2020,柳州(4502),2128091,365840,17.19
2000,株洲(4302),360494,17551,4.87
2001,株洲(4302),357063,18687,5.23
2002,株洲(4302),356150,19851,5.57
2003,株洲(4302),357464,21340,5.97
2004,株洲(4302),359870,22712,6.31
2005,株洲(4302),370397,24759,6.68
2006,株洲(4302),402182,28260,7.03
2007,株洲(4302),433937,32047,7.39
2008,株洲(4302),465649,36034,7.74
2009,株洲(4302),497393,40283,8.1
2010,株洲(4302),515271,43578,8.46
2011,株洲(4302),536250,45258,8.44
2012,株洲(4302),550130,46477,8.45
2013,株洲(4302),571237,48179,8.43
2014,株洲(4302),589726,49668,8.42
2015,株洲(4302),575461,48372,8.41
2016,株洲(4302),571083,48012,8.41
2017,株洲(4302),568432,47693,8.39
2018,株洲(4302),561580,47105,8.39
2019,株洲(4302),549528,45891,8.35
2020,株洲(4302),875652,73177,8.36
2000,桂林(4503),450143,21506,4.78
2001,桂林(4503),462003,24422,5.29
2002,桂林(4503),475425,27678,5.82
2003,桂林(4503),489512,31160,6.37
2004,桂林(4503),504473,34743,6.89
2005,桂林(4503),529387,39297,7.42
2006,桂林(4503),585746,46694,7.97
2007,桂林(4503),642588,54651,8.5
2008,桂林(4503),700430,63513,9.07
2009,桂林(4503),757396,72106,9.52
2010,桂林(4503),797510,82897,10.39
2011,桂林(4503),829471,85585,10.32
2012,桂林(4503),850018,86811,10.21
2013,桂林(4503),881348,89193,10.12
2014,桂林(4503),909620,91419,10.05
2015,桂林(4503),887171,88289,9.95
2016,桂林(4503),878875,86668,9.86
2017,桂林(4503),874605,85482,9.77
2018,桂林(4503),863075,83732,9.7
2019,桂林(4503),844836,81639,9.66
2020,桂林(4503),1351352,135287,10.01
2000,梅州(4414),285256,11338,3.97
2001,梅州(4414),265818,10438,3.93
2002,梅州(4414),250956,9782,3.9
2003,梅州(4414),238442,9241,3.88
2004,梅州(4414),229700,8962,3.9
2005,梅州(4414),225723,8877,3.93
2006,梅州(4414),235158,9274,3.94
2007,梅州(4414),244073,9757,4.0
2008,梅州(4414),252448,10206,4.04
2009,梅州(4414),259989,10629,4.09
2010,梅州(4414),260574,10665,4.09
2011,梅州(4414),271327,11142,4.11
2012,梅州(4414),278245,11506,4.14
2013,梅州(4414),289102,12022,4.16
2014,梅州(4414),298775,12594,4.22
2015,梅州(4414),291784,12410,4.25
2016,梅州(4414),289504,12411,4.29
2017,梅州(4414),288356,12478,4.33
2018,梅州(4414),284986,12493,4.38
2019,梅州(4414),279068,12346,4.42
2020,梅州(4414),444978,19798,4.45
2000,梧州(4504),131722,3113,2.36
2001,梧州(4504),133614,3428,2.57
2002,梧州(4504),136730,3885,2.84
2003,梧州(4504),139816,4301,3.08
2004,梧州(4504),143555,4757,3.31
2005,梧州(4504),149337,5237,3.51
2006,梧州(4504),164600,6261,3.8
2007,梧州(4504),179374,7245,4.04
2008,梧州(4504),194393,8241,4.24
2009,梧州(4504),209425,9294,4.44
2010,梧州(4504),219620,10994,5.01
2011,梧州(4504),228600,11366,4.97
2012,梧州(4504),234319,11590,4.95
2013,梧州(4504),243096,11866,4.88
2014,梧州(4504),250997,12175,4.85
2015,梧州(4504),244905,11779,4.81
2016,梧州(4504),242892,11662,4.8
2017,梧州(4504),241711,11503,4.76
2018,梧州(4504),238710,11263,4.72
2019,梧州(4504),233630,10978,4.7
2020,梧州(4504),373903,19111,5.11
2000,榆林(6108),167764,4705,2.8
2001,榆林(6108),216240,8378,3.87
2002,榆林(6108),260614,12846,4.93
2003,榆林(6108),301521,17903,5.94
2004,榆林(6108),340393,23717,6.97
2005,榆林(6108),384444,30734,7.99
2006,榆林(6108),451918,40743,9.02
2007,榆林(6108),521730,52172,10.0
2008,榆林(6108),593987,65396,11.01
2009,榆林(6108),668987,80324,12.01
2010,榆林(6108),726475,94595,13.02
2011,榆林(6108),755367,98025,12.98
2012,榆林(6108),773592,99050,12.8
2013,榆林(6108),801923,101725,12.69
2014,榆林(6108),826424,103362,12.51
2015,榆林(6108),805694,99674,12.37
2016,榆林(6108),798676,98418,12.32
2017,榆林(6108),794694,97240,12.24
2018,榆林(6108),783915,95151,12.14
2019,榆林(6108),767386,92847,12.1
2020,榆林(6108),1221721,147048,12.04
2000,武威(6206),42379,548,1.29
2001,武威(6206),42230,572,1.35
2002,武威(6206),42511,573,1.35
2003,武威(6206),42735,668,1.56
2004,武威(6206),43316,680,1.57
2005,武威(6206),44685,725,1.62
2006,武威(6206),48614,816,1.68
2007,武威(6206),52477,996,1.9
2008,武威(6206),56289,1081,1.92
2009,武威(6206),60465,1213,2.01
2010,武威(6206),62475,1329,2.13
2011,武威(6206),65311,1492,2.28
2012,武威(6206),67132,1645,2.45
2013,武威(6206),69492,1684,2.42
2014,武威(6206),71840,1769,2.46
2015,武威(6206),70148,1769,2.52
2016,武威(6206),69617,1809,2.6
2017,武威(6206),69466,1849,2.66
2018,武威(6206),68614,1848,2.69
2019,武威(6206),67333,1848,2.74
2020,武威(6206),107177,3117,2.91
2000,武汉(4201),2050636,250868,12.23
2001,武汉(4201),2279362,325677,14.29
2002,武汉(4201),2503223,407509,16.28
2003,武汉(4201),2724081,494429,18.15
2004,武汉(4201),2949259,591975,20.07
2005,武汉(4201),3231393,706232,21.86
2006,武汉(4201),3710127,870652,23.47
2007,武汉(4201),4209831,1054322,25.04
2008,武汉(4201),4748909,1275641,26.86
2009,武汉(4201),5299075,1506861,28.44
2010,武汉(4201),5583077,1578039,28.26
2011,武汉(4201),5752952,1584794,27.55
2012,武汉(4201),5880863,1603996,27.27
2013,武汉(4201),6087343,1647418,27.06
2014,武汉(4201),6259876,1674881,26.76
2015,武汉(4201),6054721,1578650,26.07
2016,武汉(4201),5974845,1534955,25.69
2017,武汉(4201),5922728,1500993,25.34
2018,武汉(4201),5820135,1452770,24.96
2019,武汉(4201),5677302,1400510,24.67
2020,武汉(4201),8760721,1946613,22.22
2000,毕节(5205),94838,680,0.72
2001,毕节(5205),104791,828,0.79
2002,毕节(5205),113274,1081,0.95
2003,毕节(5205),121366,1260,1.04
2004,毕节(5205),129497,1644,1.27
2005,毕节(5205),139144,1993,1.43
2006,毕节(5205),157315,2545,1.62
2007,毕节(5205),175561,3116,1.77
2008,毕节(5205),194555,3840,1.97
2009,毕节(5205),212932,4545,2.13
2010,毕节(5205),225371,5213,2.31
2011,毕节(5205),234867,5465,2.33
2012,毕节(5205),241101,5721,2.37
2013,毕节(5205),250077,5845,2.34
2014,毕节(5205),258148,5949,2.3
2015,毕节(5205),251997,5821,2.31
2016,毕节(5205),249899,5668,2.27
2017,毕节(5205),248920,5656,2.27
2018,毕节(5205),245751,5465,2.22
2019,毕节(5205),240678,5301,2.2
2020,毕节(5205),383217,8497,2.22
2000,永州(4311),80103,680,0.85
2001,永州(4311),83725,725,0.87
2002,永州(4311),87277,828,0.95
2003,永州(4311),90910,996,1.1
2004,永州(4311),94415,1196,1.27
2005,永州(4311),99876,1272,1.27
2006,永州(4311),111049,1645,1.48
2007,永州(4311),122069,1896,1.55
2008,永州(4311),133259,2284,1.71
2009,永州(4311),144430,2620,1.81
2010,永州(4311),151709,2972,1.96
2011,永州(4311),158212,3101,1.96
2012,永州(4311),162135,3156,1.95
2013,永州(4311),168233,3209,1.91
2014,永州(4311),173796,3416,1.97
2015,永州(4311),169519,3209,1.89
2016,永州(4311),168233,3209,1.91
2017,永州(4311),167565,3205,1.91
2018,永州(4311),165647,3156,1.91
2019,永州(4311),162088,3116,1.92
2020,永州(4311),258375,4968,1.92
2000,汉中(6107),103606,1645,1.59
2001,汉中(6107),106324,1848,1.74
2002,汉中(6107),109418,2044,1.87
2003,汉中(6107),112728,2480,2.2
2004,汉中(6107),116017,2645,2.28
2005,汉中(6107),121639,3053,2.51
2006,汉中(6107),133891,3633,2.71
2007,汉中(6107),146670,4129,2.82
2008,汉中(6107),159078,4773,3.0
2009,汉中(6107),172258,5809,3.37
2010,汉中(6107),180141,6329,3.51
2011,汉中(6107),187678,6649,3.54
2012,汉中(6107),192786,6981,3.62
2013,汉中(6107),199810,7162,3.58
2014,汉中(6107),206411,7349,3.56
2015,汉中(6107),201620,7245,3.59
2016,汉中(6107),199921,7246,3.62
2017,汉中(6107),199131,7245,3.64
2018,汉中(6107),196839,7197,3.66
2019,汉中(6107),192981,7162,3.71
2020,汉中(6107),307292,11566,3.76
2000,汕头(4405),469175,24394,5.2
2001,汕头(4405),482310,27343,5.67
2002,汕头(4405),496287,30724,6.19
2003,汕头(4405),511432,34237,6.69
2004,汕头(4405),527232,37789,7.17
2005,汕头(4405),553500,42498,7.68
2006,汕头(4405),612522,49938,8.15
2007,汕头(4405),671520,57627,8.58
2008,汕头(4405),729860,65468,8.97
2009,汕头(4405),789408,73868,9.36
2010,汕头(4405),825627,78922,9.56
2011,汕头(4405),859538,82193,9.56
2012,汕头(4405),881639,84198,9.55
2013,汕头(4405),914994,87143,9.52
2014,汕头(4405),944491,89546,9.48
2015,汕头(4405),922112,87304,9.47
2016,汕头(4405),914356,86468,9.46
2017,汕头(4405),910316,85781,9.42
2018,汕头(4405),899039,84573,9.41
2019,汕头(4405),880185,82650,9.39
2020,汕头(4405),1402281,131564,9.38
2000,汕尾(4415),161028,5669,3.52
2001,汕尾(4415),149717,5005,3.34
2002,汕尾(4415),141356,4741,3.35
2003,汕尾(4415),134226,4473,3.33
2004,汕尾(4415),128525,4077,3.17
2005,汕尾(4415),126210,4057,3.21
2006,汕尾(4415),131550,4240,3.22
2007,汕尾(4415),136267,4362,3.2
2008,汕尾(4415),140347,4569,3.26
2009,汕尾(4415),144357,4741,3.28
2010,汕尾(4415),144514,4785,3.31
2011,汕尾(4415),150643,5050,3.35
2012,汕尾(4415),154557,5218,3.38
2013,汕尾(4415),160493,5657,3.52
2014,汕尾(4415),165740,5809,3.5
2015,汕尾(4415),162009,5721,3.53
2016,汕尾(4415),160569,5722,3.56
2017,汕尾(4415),160042,5761,3.6
2018,汕尾(4415),158086,5721,3.62
2019,汕尾(4415),154993,5669,3.66
2020,汕尾(4415),246675,9018,3.66
2000,江门(4407),958452,112157,11.7
2001,江门(4407),942808,115328,12.23
2002,江门(4407),936959,121009,12.92
2003,江门(4407),936754,127130,13.57
2004,江门(4407),940501,133483,14.19
2005,江门(4407),965934,143954,14.9
2006,江门(4407),1046152,161229,15.41
2007,江门(4407),1126211,179136,15.91
2008,江门(4407),1204778,196747,16.33
2009,江门(4407),1281950,214065,16.7
2010,江门(4407),1323787,225714,17.05
2011,江门(4407),1375841,233174,16.95
2012,江门(4407),1409783,237390,16.84
2013,江门(4407),1461985,244759,16.74
2014,江门(4407),1507930,250968,16.64
2015,江门(4407),1470784,243674,16.57
2016,江门(4407),1456545,239236,16.42
2017,江门(4407),1448633,236330,16.31
2018,江门(4407),1427343,230084,16.12
2019,江门(4407),1395176,222705,15.96
2020,江门(4407),2218183,350345,15.79
2000,池州(3417),0,0,nan
2001,池州(3417),0,0,nan
2002,池州(3417),0,0,nan
2003,池州(3417),0,0,nan
2004,池州(3417),0,0,nan
2005,池州(3417),0,0,nan
2006,池州(3417),0,0,nan
2007,池州(3417),0,0,nan
2008,池州(3417),0,0,nan
2009,池州(3417),0,0,nan
2010,池州(3417),0,0,nan
2011,池州(3417),0,0,nan
2012,池州(3417),0,0,nan
2013,池州(3417),0,0,nan
2014,池州(3417),0,0,nan
2015,池州(3417),0,0,nan
2016,池州(3417),0,0,nan
2017,池州(3417),0,0,nan
2018,池州(3417),0,0,nan
2019,池州(3417),0,0,nan
2020,池州(3417),0,0,nan
2000,沈阳(2101),1024241,73921,7.22
2001,沈阳(2101),1172625,102920,8.78
2002,沈阳(2101),1313301,135676,10.33
2003,沈阳(2101),1448898,171733,11.85
2004,沈阳(2101),1581902,211225,13.35
2005,沈阳(2101),1744848,258830,14.83
2006,沈阳(2101),2011657,324175,16.11
2007,沈阳(2101),2287309,396793,17.35
2008,沈阳(2101),2571599,476680,18.54
2009,沈阳(2101),2864796,563973,19.69
2010,沈阳(2101),3084562,641633,20.8
2011,沈阳(2101),3202941,660730,20.63
2012,沈阳(2101),3281470,672897,20.51
2013,沈阳(2101),3398971,690636,20.32
2014,沈阳(2101),3502815,706467,20.17
2015,沈阳(2101),3404741,674447,19.81
2016,沈阳(2101),3368195,660066,19.6
2017,沈阳(2101),3344975,647994,19.37
2018,沈阳(2101),3291533,627673,19.07
2019,沈阳(2101),3214657,606127,18.86
2020,沈阳(2101),5105660,949478,18.6
2000,沧州(1309),313960,7917,2.52
2001,沧州(1309),302188,7917,2.62
2002,沧州(1309),293385,8025,2.74
2003,沧州(1309),287593,8104,2.82
2004,沧州(1309),283633,8296,2.92
2005,沧州(1309),285964,8665,3.03
2006,沧州(1309),304620,9429,3.1
2007,沧州(1309),323148,10433,3.23
2008,沧州(1309),341243,11185,3.28
2009,沧州(1309),358581,12025,3.35
2010,沧州(1309),365955,12497,3.41
2011,沧州(1309),380891,13017,3.42
2012,沧州(1309),390719,13233,3.39
2013,沧州(1309),405581,13653,3.37
2014,沧州(1309),418680,14045,3.35
2015,沧州(1309),408661,13641,3.34
2016,沧州(1309),405485,13565,3.35
2017,沧州(1309),403550,13465,3.34
2018,沧州(1309),398741,13353,3.35
2019,沧州(1309),390541,13062,3.34
2020,沧州(1309),622075,20810,3.35
2000,河池(4512),0,0,nan
2001,河池(4512),0,0,nan
2002,河池(4512),0,0,nan
2003,河池(4512),0,0,nan
2004,河池(4512),0,0,nan
2005,河池(4512),0,0,nan
2006,河池(4512),0,0,nan
2007,河池(4512),0,0,nan
2008,河池(4512),0,0,nan
2009,河池(4512),0,0,nan
2010,河池(4512),0,0,nan
2011,河池(4512),0,0,nan
2012,河池(4512),0,0,nan
2013,河池(4512),0,0,nan
2014,河池(4512),0,0,nan
2015,河池(4512),0,0,nan
2016,河池(4512),0,0,nan
2017,河池(4512),0,0,nan
2018,河池(4512),0,0,nan
2019,河池(4512),0,0,nan
2020,河池(4512),0,0,nan
2000,河源(4416),144683,4893,3.38
2001,河源(4416),157208,5925,3.77
2002,河源(4416),168574,7090,4.21
2003,河源(4416),179673,8238,4.58
2004,河源(4416),189873,9187,4.84
2005,河源(4416),204165,10563,5.17
2006,河源(4416),230582,12987,5.63
2007,河源(4416),257534,16081,6.24
2008,河源(4416),284151,18381,6.47
2009,河源(4416),311446,21504,6.9
2010,河源(4416),329458,23549,7.15
2011,河源(4416),342776,24345,7.1
2012,河源(4416),351414,24657,7.02
2013,河源(4416),364603,25476,6.99
2014,河源(4416),377457,27235,7.22
2015,河源(4416),368885,26778,7.26
2016,河源(4416),365940,26785,7.32
2017,河源(4416),364552,26814,7.36
2018,河源(4416),360326,26685,7.41
2019,河源(4416),352900,26194,7.42
2020,河源(4416),562409,41926,7.45
2000,泉州(3505),2877601,511596,17.78
2001,泉州(3505),2915910,554546,19.02
2002,泉州(3505),2972337,601820,20.25
2003,泉州(3505),3043667,654405,21.5
2004,泉州(3505),3124191,709177,22.7
2005,泉州(3505),3273202,782273,23.9
2006,泉州(3505),3617301,905882,25.04
2007,泉州(3505),3969833,1039872,26.19
2008,泉州(3505),4333924,1187181,27.39
2009,泉州(3505),4695543,1333230,28.39
2010,泉州(3505),4946580,1463757,29.59
2011,泉州(3505),5108902,1484090,29.05
2012,泉州(3505),5211509,1492310,28.63
2013,泉州(3505),5395149,1533968,28.43
2014,泉州(3505),5553111,1565936,28.2
2015,泉州(3505),5409116,1516497,28.04
2016,泉州(3505),5350796,1489650,27.84
2017,泉州(3505),5314979,1469480,27.65
2018,泉州(3505),5242464,1444386,27.55
2019,泉州(3505),5127248,1407903,27.46
2020,泉州(3505),8160588,2235096,27.39
2000,泰安(3709),143606,1996,1.39
2001,泰安(3709),160985,2700,1.68
2002,泰安(3709),177385,3624,2.04
2003,泰安(3709),192265,4472,2.33
2004,泰安(3709),206220,5429,2.63
2005,泰安(3709),223905,6685,2.99
2006,泰安(3709),254703,8458,3.32
2007,泰安(3709),285744,10289,3.6
2008,泰安(3709),317148,12357,3.9
2009,泰安(3709),349258,14538,4.16
2010,泰安(3709),371623,16591,4.46
2011,泰安(3709),386876,17286,4.47
2012,泰安(3709),397014,17786,4.48
2013,泰安(3709),412138,18437,4.47
2014,泰安(3709),425758,19106,4.49
2015,泰安(3709),415548,18538,4.46
2016,泰安(3709),412045,18411,4.47
2017,泰安(3709),410810,18302,4.46
2018,泰安(3709),405495,18202,4.49
2019,泰安(3709),397021,17730,4.47
2020,泰安(3709),632539,28299,4.47
2000,泰州(3212),249818,6997,2.8
2001,泰州(3212),261809,8285,3.16
2002,泰州(3212),273466,9745,3.56
2003,泰州(3212),285740,11361,3.98
2004,泰州(3212),297622,13053,4.39
2005,泰州(3212),315240,14978,4.75
2006,泰州(3212),351268,18306,5.21
2007,泰州(3212),388118,21955,5.66
2008,泰州(3212),424705,25487,6.0
2009,泰州(3212),461678,29269,6.34
2010,泰州(3212),485814,32892,6.77
2011,泰州(3212),505935,34400,6.8
2012,泰州(3212),519190,35408,6.82
2013,泰州(3212),539016,36909,6.85
2014,泰州(3212),556937,38241,6.87
2015,泰州(3212),543716,37441,6.89
2016,泰州(3212),539318,37192,6.9
2017,泰州(3212),537419,37166,6.92
2018,泰州(3212),530653,36661,6.91
2019,泰州(3212),519794,36005,6.93
2020,泰州(3212),828387,57564,6.95
2000,泸州(5105),135057,2333,1.73
2001,泸州(5105),147037,3065,2.08
2002,泸州(5105),158517,3812,2.4
2003,泸州(5105),168841,4533,2.68
2004,泸州(5105),179192,5317,2.97
2005,泸州(5105),192856,6341,3.29
2006,泸州(5105),217330,7845,3.61
2007,泸州(5105),242119,9294,3.84
2008,泸州(5105),267429,11114,4.16
2009,泸州(5105),292592,12914,4.41
2010,泸州(5105),310357,14954,4.82
2011,泸州(5105),323122,15701,4.86
2012,泸州(5105),331681,16226,4.89
2013,泸州(5105),344471,16974,4.93
2014,泸州(5105),355674,17530,4.93
2015,泸州(5105),347089,17022,4.9
2016,泸州(5105),344292,16787,4.88
2017,泸州(5105),342802,16638,4.85
2018,泸州(5105),338566,16355,4.83
2019,泸州(5105),331373,15933,4.81
2020,泸州(5105),527978,25432,4.82
2000,洛阳(4103),354202,10525,2.97
2001,洛阳(4103),372399,12598,3.38
2002,洛阳(4103),390760,14881,3.81
2003,洛阳(4103),408431,17062,4.18
2004,洛阳(4103),426110,19594,4.6
2005,洛阳(4103),452333,22750,5.03
2006,洛阳(4103),504695,27422,5.43
2007,洛阳(4103),557609,32655,5.86
2008,洛阳(4103),611056,37964,6.21
2009,洛阳(4103),664824,43904,6.6
2010,洛阳(4103),699320,48048,6.87
2011,洛阳(4103),727618,49680,6.83
2012,洛阳(4103),746227,50617,6.78
2013,洛阳(4103),774444,52341,6.76
2014,洛阳(4103),799039,53312,6.67
2015,洛阳(4103),779383,51449,6.6
2016,洛阳(4103),772570,50512,6.54
2017,洛阳(4103),769182,50004,6.5
2018,洛阳(4103),759471,49172,6.47
2019,洛阳(4103),743402,47804,6.43
2020,洛阳(4103),1183811,75491,6.38
2000,济南(3701),578764,29403,5.08
2001,济南(3701),706867,46222,6.54
2002,济南(3701),824637,65466,7.94
2003,济南(3701),935765,86980,9.3
2004,济南(3701),1042283,110570,10.61
2005,济南(3701),1166104,138475,11.88
2006,济南(3701),1363509,179994,13.2
2007,济南(3701),1566980,226050,14.43
2008,济南(3701),1779486,279518,15.71
2009,济南(3701),2000240,339530,16.97
2010,济南(3701),2163917,389080,17.98
2011,济南(3701),2247214,400142,17.81
2012,济南(3701),2301039,405931,17.64
2013,济南(3701),2385297,417875,17.52
2014,济南(3701),2458104,426423,17.35
2015,济南(3701),2395389,411761,17.19
2016,济南(3701),2369347,401675,16.95
2017,济南(3701),2353602,394157,16.75
2018,济南(3701),2316284,380759,16.44
2019,济南(3701),2197609,302411,13.76
2020,济南(3701),3481153,461804,13.27
2000,济宁(3708),206534,2972,1.44
2001,济宁(3708),226657,3816,1.68
2002,济宁(3708),245010,4741,1.94
2003,济宁(3708),262445,5808,2.21
2004,济宁(3708),279705,6860,2.45
2005,济宁(3708),301140,8473,2.81
2006,济宁(3708),340477,10432,3.06
2007,济宁(3708),379442,12445,3.28
2008,济宁(3708),419612,14749,3.51
2009,济宁(3708),460153,17394,3.78
2010,济宁(3708),487484,19589,4.02
2011,济宁(3708),507363,20206,3.98
2012,济宁(3708),520444,20658,3.97
2013,济宁(3708),540252,21422,3.97
2014,济宁(3708),557930,22090,3.96
2015,济宁(3708),544374,21190,3.89
2016,济宁(3708),539736,20917,3.88
2017,济宁(3708),537479,20746,3.86
2018,济宁(3708),530985,20562,3.87
2019,济宁(3708),519970,20178,3.88
2020,济宁(3708),828295,32066,3.87
2000,海东(6302),0,0,nan
2001,海东(6302),0,0,nan
2002,海东(6302),0,0,nan
2003,海东(6302),0,0,nan
2004,海东(6302),0,0,nan
2005,海东(6302),0,0,nan
2006,海东(6302),0,0,nan
2007,海东(6302),0,0,nan
2008,海东(6302),0,0,nan
2009,海东(6302),0,0,nan
2010,海东(6302),0,0,nan
2011,海东(6302),0,0,nan
2012,海东(6302),0,0,nan
2013,海东(6302),0,0,nan
2014,海东(6302),0,0,nan
2015,海东(6302),0,0,nan
2016,海东(6302),0,0,nan
2017,海东(6302),0,0,nan
2018,海东(6302),0,0,nan
2019,海东(6302),0,0,nan
2020,海东(6302),0,0,nan
2000,海南(6325),0,0,nan
